,nr,file,pid,mom,eta_bin,eta,phi,aero_thetac_hist_entries,aero_thetac_fit_mean,aero_thetac_fit_sigma,aero_thetac_res_hist_entries,aero_thetac_res_fit_mean,aero_thetac_res_fit_sigma,gas_thetac_hist_entries,gas_thetac_fit_mean,gas_thetac_fit_sigma,gas_thetac_res_hist_entries,gas_thetac_res_fit_mean,gas_thetac_res_fit_sigma,SPEaero_thetac_hist_entries,SPEaero_thetac_hist_mean,SPEaero_thetac_fit_mean,SPEaero_thetac_fit_sigma,SPEaero_thetac_res_hist_entries,SPEaero_thetac_res_hist_mean,SPEaero_thetac_res_fit_mean,SPEaero_thetac_res_fit_sigma,SPEgas_thetac_hist_entries,SPEgas_thetac_hist_mean,SPEgas_thetac_fit_mean,SPEgas_thetac_fit_sigma,SPEgas_thetac_res_hist_entries,SPEgas_thetac_res_hist_mean,SPEgas_thetac_res_fit_mean,SPEgas_thetac_res_fit_sigma
254,254,ana_211_5_20_1.root,211,5,20,3.5,1,179,222.46427392738102,0.7303593459099799,179,-1.462050044,0.727253878,174,27.270147662747085,0.6682719180429854,179,-1.462050043,0.727253878,1588,222.40440806045342,222.25065822032118,1.9402422314739187,1588,-1.498320739,-1.670176199,1.800805870993174,1053,27.28271604938272,27.239496857341337,1.255247568397776,1586,-1.490458176,-1.670185455,1.8008615656609517
253,253,ana_211_5_20_2.root,211,5,20,3.5,2,187,222.45361056192965,0.703237381,187,-1.465193406,0.7078286970611537,186,27.242323243761373,0.5545383918236445,187,-1.465193406,0.7078286975958513,1666,222.46026410564224,222.24188201060193,2.0010035723093216,1666,-1.440256102,-1.651656494,2.0008938481541376,1244,27.189710610932476,27.192743920799526,1.0821827640738977,1664,-1.431410256,-1.654948751,1.9853621756348936
255,255,ana_211_5_20_3.root,211,5,20,3.5,3,185,222.4976050191474,0.8072334285668846,185,-1.405189195,0.7971789336045836,185,27.208409733956618,0.6033701335470683,185,-1.405189195,0.7971789340403038,1646,222.52442284325642,222.3483661109168,1.9907870468141537,1646,-1.379505873,-1.54959805,2.003884744520344,1291,27.22393493415956,27.25590907850014,1.1234075686358902,1644,-1.381103001,-1.551734795,1.9850644744600527
252,252,ana_211_5_20_4.root,211,5,20,3.5,4,194,222.39543639143383,0.6860769918500098,194,-1.509925213,0.6800232956119169,192,27.27718289908622,0.6859167822358718,194,-1.509925213,0.6800232957368318,1765,222.4521813031162,222.26963353202652,2.014525735452532,1765,-1.451293673,-1.635463465,2.018654673982856,1208,27.232119205298016,27.289127834876016,1.2316476734815172,1765,-1.451293673,-1.636324611,2.018654673982856
250,250,ana_211_5_20_5.root,211,5,20,3.5,5,193,222.39283611198655,0.6969099526032377,193,-1.515500415,0.6951202424487228,188,27.274476479723226,0.6228090867113858,192,-1.515500364,0.6951205587452809,1688,222.40177725118485,222.09621356176987,1.8420617843737304,1688,-1.502843602,-1.828018745,1.760518373171888,1166,27.307375643224702,27.312959313693884,1.295330963013957,1683,-1.52073678,-1.828111223,1.7608533528483397
249,249,ana_211_5_20_6.root,211,5,20,3.5,6,190,222.45583124314894,0.7278997802966403,190,-1.458376498,0.7359165877839988,188,27.24162235,0.5382874678655946,190,-1.458376498,0.735916589,1698,222.3990577149588,222.15844352951154,1.8351232699622964,1698,-1.503886926,-1.725559783,1.9148806843705588,1323,27.28412698412698,27.22689116441175,1.1126973682937604,1698,-1.503886926,-1.7260708,1.9148806843705586
248,248,ana_211_5_20_7.root,211,5,20,3.5,7,188,222.5150808212082,0.7079507797620155,188,-1.376213332,0.7226468286793573,183,27.209845207472814,0.6320961290418378,188,-1.376213332,0.7226468287573377,1627,222.53503380454825,222.3938661176057,2.0075645317636233,1627,-1.369842245,-1.515177821,2.0080634137067634,1252,27.270926517571883,27.214738557706987,1.2262541674832175,1625,-1.371610256,-1.517518432,1.9889618918104721
66,66,ana_211_15_5_0.root,211,15,5,2,0,199,223.9416268,0.5544732548277366,199,-1.483871075,0.5577043306632182,192,37.936308415804184,0.5098203707984968,199,-1.483871075,0.55770433,2643,223.93011729095727,223.8321312129978,2.028427912788961,2643,-1.487627696,-1.585102343,2.031981897775966,2791,37.931028305266935,37.813295349412876,1.9585640438042982,2582,-1.323057062,-1.583689775,2.0263102239858637
73,73,ana_211_15_5_1.root,211,15,5,2,1,195,223.82673043000105,0.546439571,195,-1.577318939,0.5257458570586576,185,38.014565343704724,0.5587062078546056,194,-1.577318193,0.5257457020641874,2421,223.80194134655102,223.66943811873227,1.9380651712660912,2421,-1.614842352,-1.770541278,1.7715331537547865,2876,38.05285118219749,37.95224955,2.3341491509766112,2376,-1.486756453,-1.770004672,1.770050391367241
69,69,ana_211_15_5_2.root,211,15,5,2,2,197,223.85743074603752,0.5370067274836432,197,-1.569628743,0.5336194131821493,189,37.92479482602468,0.6461794711681332,194,-1.56962889,0.533619232,2689,223.8645965042767,223.76878349266124,1.9318748224084183,2689,-1.552919301,-1.647660915,1.9372615114380138,2949,37.942861987114284,37.88122729561169,2.609335968,2653,-1.461766554,-1.646943329,1.935635464761866
70,70,ana_211_15_5_3.root,211,15,5,2,3,196,223.88699895244767,0.6202069319025206,196,-1.542757431,0.6312134099909645,189,38.073296683184566,0.708573887,196,-1.542757431,0.6312134099909645,2424,223.93292079207927,223.7795338152046,2.0566369943451597,2424,-1.485148515,-1.634220351,2.061041707456435,2545,38.12082514734774,38.08858445653732,2.7896451997956397,2387,-1.376316157,-1.633624908,2.0584010296407578
65,65,ana_211_15_5_4.root,211,15,5,2,4,197,223.9343258864602,0.5113344964475188,197,-1.478250744,0.542891708,189,37.86996864140262,0.5230828086196829,197,-1.478250744,0.542891708,2473,223.94253942579863,223.82839856187545,1.9729865067576904,2473,-1.473702655,-1.581728527,2.010704739194535,2677,37.96268210683601,37.810039547822605,1.830054414874938,2420,-1.322369146,-1.580527325,2.0065066701715852
64,64,ana_211_15_5_5.root,211,15,5,2,5,196,223.9021122285947,0.5078459239990814,196,-1.518190527,0.49182111007828494,189,38.08802019905148,0.40877938680213566,195,-1.518191843,0.49182379840219204,2379,223.8800756620429,223.73291993782732,1.9259930523357944,2379,-1.536808183,-1.682367049,1.9286056576419734,3045,38.00049261083744,38.02095615204643,2.4874316683714666,2335,-1.40993576,-1.681403382,1.923969977
68,68,ana_211_15_5_6.root,211,15,5,2,6,194,223.8810125612351,0.5879137313810852,194,-1.532902346,0.5857997497726309,185,37.93400989288151,0.6340624323117838,194,-1.532902346,0.58579975,2508,223.96993620414676,223.85481163204858,2.0266911379066412,2508,-1.44619883,-1.582778126,1.772299476108503,2762,37.92824040550327,37.983738705069364,2.842476637708986,2444,-1.264102564,-1.582117694,1.7707163298405753
